鄉鎮市區,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,建築完成年月,交易筆棟數,移轉層次,建物型態,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,主建物面積,附屬建物面積,陽台面積,電梯
萬華區,萬大路３４４巷３６號十三樓之１,29.61,商,1100418,1040206,土地1建物1車位2,十三層,住宅大樓(11層含以上有電梯),302.49,4,2,2,有,有,54500000,217362,坡道平面,131.98,5.0,13.21,有
中山區,民權東路一段５７之１號七樓,4.6,商,1100428,1090120,土地1建物1車位0,七層,住宅大樓(11層含以上有電梯),47.68,1,1,1,有,有,13500000,283138,,28.02,2.45,0.0,有
大同區,南京西路５７號十三樓之１３,5.76,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,1100413,1080304,土地1建物1車位1,十三層,住宅大樓(11層含以上有電梯),81.28,1,1,1,有,有,25050000,308194,塔式車位,40.45,0.0,4.52,有
大同區,南京西路５７號十九樓之６,8.18,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,1100429,1080304,土地1建物1車位1,十九層,住宅大樓(11層含以上有電梯),112.72,2,1,1,有,有,44500000,394784,升降機械,59.29,0.0,7.43,有
大安區,金山南路二段１８８號十九樓之２,20.11,住,1100406,1080910,土地4建物1車位1,十九層,住宅大樓(11層含以上有電梯),175.89999999999998,0,0,0,無,有,63680000,462753,坡道平面,84.5,0.0,6.28,有
大安區,金山南路二段１８８號十九樓之３,20.29,住,1100406,1080910,土地4建物1車位1,十九層,住宅大樓(11層含以上有電梯),177.0,0,0,0,無,有,64400000,464321,坡道平面,81.49,0.0,6.26,有
松山區,健康路３２５巷１８弄３號四樓,29.15,住,1100402,0751020,土地1建物1車位0,四層,公寓(5樓含以下無電梯),92.79,2,2,1,有,無,15400000,165966,,78.08,0.0,7.12,無
南港區,重陽路５７巷６７號五樓,30.36,住,1100417,0960503,土地1建物1車位1,五層,華廈(10層含以下有電梯),134.76999999999998,2,2,1,有,有,20600000,152853,坡道平面,58.38,1.97,7.78,有
內湖區,環山路二段１０９巷８弄１３號三樓,24.81,住,1100419,0730417,土地1建物1車位0,三層,公寓(5樓含以下無電梯),99.2,3,2,2,有,有,17080000,172177,,79.4,0.0,8.66,無
萬華區,青年路１６６號四樓,12.18,住,1100418,0640523,土地1建物1車位0,四層,公寓(5樓含以下無電梯),32.51,1,1,1,有,無,4800000,147647,,32.51,0.0,0.0,無
