鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
松山區,房地(土地+建物)+車位,臺北市松山區民生東路五段１61號十樓,19.74,商,,,1070509,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720129,227.09,4,2,2,有,有,41400000,182307,其他,0.0,0,,RPOOMLQLPHNFFDA28CA,140.09,0.0,22.7,,
中山區,房地(土地+建物)+車位,臺北市中山區基湖路１１２巷５３號九樓,61.47,住,,,1070530,土地1建物1車位1,九層，十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980819,267.55,4,2,3,有,有,68000000,254158,坡道平面,0.0,0,,RPQNMLQKPHNFFCA18CA,136.11,3.16,18.2,,
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷77號2樓,53.31,住,,,1070522,土地1建物1車位3,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041015,407.86,3,2,2,有,有,62580000,178870,坡道平面,80.08,3950000,,RPPOMLQKPHNFFCA18CA,191.12,11.17,21.09,,
中山區,房地(土地+建物),臺北市中山區中山北路二段７７巷２９號３樓,6.23,商,,,1070619,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660907,53.32,2,1,1,有,有,7600000,142536,,0.0,0,,RPWPMLMKPHNFFCA58CA,44.27,0.0,9.05,,
內湖區,房地(土地+建物),臺北市內湖區康樂街８５巷２號,35.93,住,,,1070517,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750620,113.42,3,2,2,有,無,20600000,181626,,0.0,0,,RPTPMLKKPHNFFCA08CA,93.41,9.14,0.0,,
內湖區,房地(土地+建物),臺北市內湖區行善路１３號三樓,43.9,住,,,1070608,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870506,116.36,3,2,1,有,無,15500000,133207,,0.0,0,,RPUOMLTJPHNFFCA88CA,70.42,0.0,6.38,,
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路498巷14弄9號6樓,17.06,住,,,1070603,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001123,105.52,2,2,1,有,有,15100000,143101,塔式車位,24.87,0,,RPSOMLTJPHNFFCA68CA,41.63,4.61,7.84,,
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６８巷８號2樓之10,9.6,商,,,1070626,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,114.08000000000001,2,1,1,有,有,19480000,257388,坡道平面,45.39,1800000,,RPUPMLNLPHNFFCA58CA,39.08,0.36,3.68,,
內湖區,房地(土地+建物)+車位,臺北市內湖區港華街51巷8弄18號六樓之5,16.41,住,,,1070601,土地1建物1車位2,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971017,130.51999999999998,2,1,2,有,有,20200000,154766,升降機械,31.3,0,,RPOOMLTKPHNFFCA38CA,52.95,8.25,5.41,,
內湖區,房地(土地+建物),臺北市內湖區麗山街４６巷５弄１號二樓,24.13,住,,,1070523,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,92.75,3,2,2,有,無,13800000,148787,,0.0,0,,RPVQMLSKPHNFFCA56CA,84.07,0.0,8.68,,
中山區,房地(土地+建物),臺北市中山區新生北路一段４７巷２７號六樓,9.03,商,,,1070427,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970523,41.8,1,1,1,有,有,8320000,199043,,0.0,0,,RPUPMLKLPHNFFCA28CA,20.23,1.65,2.08,,
中山區,房地(土地+建物),臺北市中山區德惠街１６３號三樓,44.25,住,,,1070605,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631018,124.38,3,2,1,有,無,16760000,134748,,0.0,0,,RPXPMLLMPHNFFCA78CA,103.67,0.0,20.71,,
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６２巷１６號十一樓之６,10.65,商,,,1070503,土地1建物1車位1,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,170.0,3,2,1,有,有,36880000,216941,坡道平面,33.32,0,,RPWNMLRLPHNFFCA98CA,81.71,2.72,10.92,,
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路１０２號九樓,8.73,商,,,1070526,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,151.24,3,2,2,有,有,21980000,167844,坡道平面,35.18,2500000,,RPWOMLPLPHNFFBA78CA,63.42,8.63,5.17,,
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０５號六樓之３,8.44,商,,,1070620,土地1建物1車位1,六層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,153.55,3,2,1,有,有,21940000,170547,坡道平面,33.7,1500000,,RPPNMLLMPHNFFBA67CA,63.12,4.87,7.98,,
